# CubeRTS map
# base <player> <x> <z> <angleDeg>   resource <x> <z> <angleDeg>   barrier <x> <z> <halfLen> <angleDeg>   mapsize <half>
mapsize 75 75
gamemap 1
terrainfbx models/Height_2.fbx
terrainfbxscale 1
renderfbx models/Render_3.fbx
terrainmat 0.0590717 0.0372073 0.0276665 1|Circle.012||0
navfbx C:\Users\becks\OneDrive\Desktop\Project\models\Maps\10P\Nav.fbx
walkslope 1.73
maxstep 0.4
navdensity 5
terrainmin 0
terrainblur 0
navmesh 324d504ecc000000302e1300d0929fff000000000000000034af9dff00000000cbb2f6ff2b9fcbff00000000d0d1ecffd0929fff00000000fdd7e7ff3915a1ff000000000354080082fbceff000000008f13f7ff0012cdff000000001f2af7ff9590ceff000000009cf5f6ff380cd0ff0000000025a60800d971d0ff000000000c78f6ff5076d1ff00000000bb3f0900fbd0d1ff0000000042b6f5fff4c0d2ff00000000df1a0a00650bd3ff00000000afb7f4ff6fdfd3ff00000000232f0b000515d4ff000000001c86f3ffbfc6d4ff00000000ea710c00a5e3d4ff00000000492df2ff006ed5ff00000000cdd60d00536fd5ff0000000074baf0ffc4ced5ff0000000014500f00b3b2d5ff00000000de3befff54e5d5ff0000000059efdcff99eee2ff000000003cc0edffd1b0d5ff000000002456ecff4133d5ff00000000e914ddff3271e1ff00000000800bebff7671d4ff0000000059efdcffcbf3dfff0000000004ede9ffe472d3ff000000001880dcff0c85deff00000000b505e9ff5141d2ff000000000cb0d9ffab17dbff000000005873d9ffbaa9a5ff00000000f760c9ffe940aeff00000000f97abafff97abaff0000000068bfb4ff3577c1ff000000004ed8daffcc0adcff000000006fcbdbff0d33ddff000000001880dcff585de4ff000000006fcbdbff57afe5ff000000004ed8daff98d7e6ff000000000cb0d9ffb9cae7ff0000000041cf10002dabd5ff000000000e5ed8ff637fe8ff00000000994512000b59d5ff00000000ffc9d1ff7ccdfbff000000004fefd6ffa3eee8ff00000000e871d5ff3314e9ff000000006ccbd0ff00affaff0000000081f4d3ffa3eee8ff00000000da99cfffb1c7f9ff00000000c285d2ff637fe8ff000000009c4fcbff1ca9f8ff0000000038eeabff8cb9cdff00000000102ba5ff5160daff00000000d0929fffd0d1ecff00000000834f9eff5aa4f9ff0000000031ceccffacbff8ff000000000641ceff7020f9ff00000000ca8bd2ff2018fdff000000005a09d3ff3882feff00000000dd3dd3ffdafdffff000000004d27d3ff707c01000000000088c6d2ff45ef020000000000471fd2ff1848040000000000f837d1ffab79050000000000baa4130074bfd4ff000000007d19d0ff3e7806000000000024df140051e4d3ff000000003930d5ff8b6a170000000000d9ceceff083a070000000000c064cdff99b7070000000000470fd1ff39081900000000008b8b9eff29bd080000000000d0929fff302e130000000000102ba5ffaf9f2500000000001d11adffad663400000000000e52d2ff9939180000000000f2b6d3ffeaad17000000000066afd6ff1172170000000000be25d8ff33c4170000000000de84d9ffc95d18000000000049bfdaffec38190000000000e9c8dbff304d1a00000000008997dcfff88f1b00000000003723ddffdaf41c00000000009766ddff226e1e0000000000115fddff4fed1f0000000000ef0cddffa7632100000000005873dcffc8c2220000000000c4e815000dd0d2ff000000003598dbff32fd2300000000009c48e9ffba722e0000000000b642b6ffba60400000000000f97abaff0785450000000000f760c9ff17bf5100000000005160dafff0d45a000000000019aedbff303a5b0000000000edbce8ff9dd72f00000000003c17eafff32f2d0000000000dc20ebffaf1b2c0000000000465becff8c402b000000000067baedfff6a62a0000000000bf30efffd3542a0000000000ecaff0ff4d4d2a00000000003329f2ffad902a0000000000168ef3ff5b1c2b0000000000ddd0f4fffbea2b000000000022e5f5ff9bf42c000000000045c0f6ff062f2e0000000000db59f7ff278e2f0000000000fdabf7ff7e0431000000000083b3f7ffab83320000000000de20eaff339c5f0000000000d0d1ecff306d60000000000000000000cc50620000000000134317006328d0ff00000000640a0900c9f32f0000000000302e1300306d60000000000004281800c6ea5e0000000000364d0900d56034000000000071ec080000ee320000000000e1d508006b6f310000000000af9f2500102ba5ff00000000f4870900b0892e0000000000bf490a000c3f2d000000000052480b0091202c0000000000e4790c0041392b0000000000b8d20d0000922a00000000008d450f003c312a000000000022c41000ac1a2a0000000000c43f12002f4f2a0000000000dca91300bfcc2a000000000081f414008a8e2b0000000000fc1216001c8d2c00000000004cfa1600afbe2d0000000000f0a02200b212e0ff00000000a98c260046565a0000000000099f360017bf51000000000007854500078545000000000099404b00cb883e0000000000f44f260055e8240000000000b327250034f523000000000091342400f2cc220000000000e87f2300f47a210000000000a8102300350c20000000000017eb2200ce8e1e0000000000a810230067111d0000000000e87f2300a8a21b000000000091342400a9501a000000000024c22c002502000000000000b32725006828190000000000f44f26004735180000000000a6f62c00c77d010000000000f2a127009d8017000000000037742d00dfe7020000000000b11029005d1117000000000002362e008432040000000000198e2a00cceb16000000000094342f00ff50050000000000800b2c005d11170000000000276630004e380600000000003e7a2d009d8017000000000065b03400e356070000000000c81154007346320000000000f0d45a00af9f250000000000306d6000302e1300000000007db06100a45b060000000000cf3133005440070000000000fabe31008fdf060000000000b4d82c008f83feff0000000078392d00bb10fdff00000000237b260037a2e7ff00000000b9e02d00e7b7fbff0000000008c82e005486faff0000000043da2700cd3be8ff0000000084e62f00c287f9ff000000009b502900f08de8ff0000000028313100f7c5f8ff00000000c8cf2a007695e8ff00000000409b32006648f8ff00000000baf02e00c8f7e6ff0000000075746100d642f7ff00000000306d6000d0d1ecff00000000f0d45a005160daff00000000e4ee52005599cbff00000000f2ad2d0068c6e7ff000000000f492c001652e8ff00000000b840250014c7e6ff0000000018372400d0b2e5ff00000000786823000970e4ff00000000c9dc2200260be3ff000000006a992200de91e1ff0000000012f322005a9cdeff00000000099f3600e940aeff00000000a88c2300393dddff00000000cc672400ce02dcff000000004cbd4900479fbfff0000000007854500f97abaff00000000e8512400d0c5a4ff0000000064b71600468dd1ff000000007d4c0800557ccdff0000000022df1500cd63a0ff00000000ca00000003000000000000000200000001000000c900000001000000ffffffff030000000100000002000000030000000000000002000000ffffffff0300000003000000020000000400000001000000ffffffffffffffff0300000005000000060000000200000004000000ffffffffc70000000300000005000000070000000600000005000000ffffffff0300000003000000050000000800000007000000c6000000ffffffff0400000003000000090000000a00000008000000c5000000ffffffffc6000000030000000b0000000c0000000a000000c4000000ffffffffc5000000030000000d0000000e0000000c000000c3000000ffffffffc4000000030000000f000000100000000e000000c2000000ffffffffc300000003000000110000001200000010000000c1000000ffffffffc200000003000000130000001400000012000000c0000000ffffffffc1000000030000001500000016000000140000000d000000ffffffffc0000000030000001500000017000000160000001d0000000e0000000c000000030000001600000017000000180000000d0000001c000000ffffffff03000000180000001a000000190000001c0000001b000000ffffffff03000000190000001c0000001b0000001b0000001a000000ffffffff030000001b0000001e0000001d0000001a00000019000000ffffffff030000001d000000200000001f0000001700000016000000ffffffff030000001f000000220000002100000014000000ffffffffffffffff030000001f000000230000002200000015000000ffffffff13000000030000001f000000240000002300000016000000ffffffff14000000030000001f000000200000002400000012000000ffffffff15000000030000001d000000250000002000000018000000ffffffff12000000030000001d000000260000002500000019000000ffffffff17000000030000001d0000001e0000002600000011000000ffffffff18000000030000001b0000001c0000001e00000010000000ffffffff1100000003000000190000001a0000001c0000000f000000ffffffff100000000300000018000000170000001a0000000e000000ffffffff0f000000030000001500000027000000170000001e000000ffffffff0d000000030000001500000028000000270000001f000000ffffffff1d0000000300000015000000290000002800000020000000ffffffff1e00000003000000150000002a00000029000000bf000000ffffffff1f000000030000002b0000002c0000002a000000be000000ffffffffbf000000030000002d0000002e0000002c0000003000000023000000be000000030000002c0000002e0000002f000000220000002f000000ffffffff030000002f00000031000000300000002f0000002e000000ffffffff030000003000000033000000320000002e0000002d000000ffffffff030000003200000035000000340000002b0000002a000000ffffffff0300000034000000370000003600000028000000ffffffffffffffff0300000034000000380000003700000029000000ffffffff27000000030000003400000039000000380000002a000000ffffffff280000000300000034000000350000003900000026000000ffffffff2900000003000000320000003a000000350000002c000000ffffffff2600000003000000320000003b0000003a0000002d000000ffffffff2b0000000300000032000000330000003b00000025000000ffffffff2c0000000300000030000000310000003300000024000000ffffffff25000000030000002f0000002e0000003100000023000000ffffffff24000000030000002d0000003c0000002e00000031000000ffffffff22000000030000002d0000003d0000003c00000032000000ffffffff30000000030000002d0000003e0000003d00000033000000ffffffff31000000030000002d0000003f0000003e00000034000000ffffffff32000000030000002d000000400000003f00000035000000ffffffff33000000030000002d000000410000004000000036000000ffffffff34000000030000002d0000004200000041000000bd000000ffffffff3500000003000000430000004400000042000000bc000000ffffffffbd000000030000004500000046000000440000004200000039000000bc000000030000004400000046000000470000003800000041000000ffffffff030000004700000049000000480000003f0000003e000000ffffffff03000000480000004b0000004a0000003c000000ffffffffffffffff03000000480000004c0000004b0000003d000000ffffffff3b00000003000000480000004d0000004c0000003e000000ffffffff3c0000000300000048000000490000004d0000003a000000ffffffff3d00000003000000470000004e0000004900000040000000ffffffff3a00000003000000470000004f0000004e00000041000000ffffffff3f0000000300000047000000460000004f00000039000000ffffffff400000000300000045000000500000004600000043000000ffffffff380000000300000045000000510000005000000044000000ffffffff420000000300000045000000520000005100000045000000ffffffff430000000300000045000000530000005200000046000000ffffffff440000000300000045000000540000005300000047000000ffffffff450000000300000045000000550000005400000048000000ffffffff460000000300000045000000560000005500000049000000ffffffff47000000030000004500000057000000560000004a000000ffffffff48000000030000004500000058000000570000004b000000ffffffff49000000030000004500000059000000580000004c000000ffffffff4a00000003000000450000005a00000059000000bb000000ffffffff4b000000030000005b0000005c0000005a0000004e000000ffffffffbb000000030000005b0000005d0000005c00000055000000540000004d000000030000005c0000005f0000005e00000050000000ffffffffffffffff030000005c000000600000005f00000051000000ffffffff4f000000030000005c000000610000006000000052000000ffffffff50000000030000005c000000620000006100000053000000ffffffff51000000030000005c000000630000006200000054000000ffffffff52000000030000005c0000005d000000630000004e000000ffffffff53000000030000005b000000640000005d00000056000000ffffffff4e000000030000005b000000650000006400000057000000ffffffff55000000030000005b000000660000006500000058000000ffffffff56000000030000005b000000670000006600000059000000ffffffff57000000030000005b00000068000000670000005a000000ffffffff58000000030000005b00000069000000680000005b000000ffffffff59000000030000005b0000006a000000690000005c000000ffffffff5a000000030000005b0000006b0000006a0000005d000000ffffffff5b000000030000005b0000006c0000006b0000005e000000ffffffff5c000000030000005b0000006d0000006c0000005f000000ffffffff5d000000030000005b0000006e0000006d00000060000000ffffffff5e000000030000005b0000006f0000006e00000061000000ffffffff5f000000030000005b000000700000006f00000062000000ffffffff60000000030000005b000000710000007000000063000000ffffffff61000000030000005b000000720000007100000064000000ffffffff62000000030000005b000000730000007200000065000000ffffffff63000000030000005b0000007400000073000000ba000000ffffffff6400000003000000750000007600000074000000b80000006b000000b90000000300000074000000780000007700000068000000ffffffffffffffff0300000074000000790000007800000069000000ffffffff6700000003000000740000007a000000790000006a000000ffffffff6800000003000000740000007b0000007a0000006b000000ffffffff690000000300000074000000760000007b00000066000000ffffffff6a000000030000007c0000007d000000760000006d000000ffffffffb7000000030000007c0000007e0000007d0000006e000000ffffffff6c000000030000007c0000007f0000007e0000006f000000ffffffff6d000000030000007c000000800000007f00000070000000ffffffff6e000000030000007c000000810000008000000071000000ffffffff6f000000030000007c000000820000008100000072000000ffffffff70000000030000007c000000830000008200000073000000ffffffff71000000030000007c000000840000008300000074000000ffffffff72000000030000007c000000850000008400000075000000ffffffff73000000030000007c000000860000008500000076000000ffffffff74000000030000007c000000870000008600000077000000ffffffff75000000030000007c000000880000008700000078000000ffffffff76000000030000007c0000008900000088000000b1000000b00000007700000003000000880000008b0000008a0000007a000000ffffffffffffffff03000000880000008c0000008b0000007b000000ffffffff7900000003000000880000008d0000008c0000007c000000ffffffff7a00000003000000880000008e0000008d0000007d000000ffffffff7b00000003000000880000008f0000008e0000007e000000ffffffff7c0000000300000088000000900000008f0000007f000000ffffffff7d0000000300000088000000910000009000000080000000ffffffff7e0000000300000088000000920000009100000081000000ffffffff7f0000000300000088000000930000009200000082000000ffffffff800000000300000088000000940000009300000083000000ffffffff810000000300000088000000950000009400000084000000ffffffff820000000300000088000000960000009500000085000000ffffffff8300000003000000880000009700000096000000990000008600000084000000030000009600000097000000980000008500000098000000ffffffff03000000980000009a000000990000009800000097000000ffffffff03000000990000009c0000009b0000009700000096000000ffffffff030000009b0000009e0000009d0000009600000095000000ffffffff030000009d000000a00000009f0000009500000094000000ffffffff030000009f000000a2000000a10000009400000093000000ffffffff03000000a1000000a4000000a30000009100000090000000ffffffff03000000a3000000a6000000a50000008e000000ffffffffffffffff03000000a3000000a7000000a60000008f000000ffffffff8d00000003000000a3000000a8000000a700000090000000ffffffff8e00000003000000a3000000a4000000a80000008c000000ffffffff8f00000003000000a1000000a9000000a400000092000000ffffffff8c00000003000000a1000000aa000000a900000093000000ffffffff9100000003000000a1000000a2000000aa0000008b000000ffffffff92000000030000009f000000a0000000a20000008a000000ffffffff8b000000030000009d0000009e000000a000000089000000ffffffff8a000000030000009b0000009c0000009e00000088000000ffffffff8900000003000000990000009a0000009c00000087000000ffffffff880000000300000098000000970000009a00000086000000ffffffff870000000300000088000000ab000000970000009a000000ffffffff850000000300000088000000ac000000ab0000009b000000ffffffff990000000300000088000000ad000000ac000000ab0000009c0000009a00000003000000ac000000ad000000ae0000009b000000aa000000ffffffff03000000ae000000b0000000af000000aa000000a9000000ffffffff03000000af000000b2000000b1000000a9000000a8000000ffffffff03000000b1000000b4000000b3000000a8000000a7000000ffffffff03000000b3000000b6000000b5000000a5000000a4000000ffffffff03000000b5000000b8000000b7000000a2000000ffffffffffffffff03000000b5000000b9000000b8000000a3000000ffffffffa100000003000000b5000000ba000000b9000000a4000000ffffffffa200000003000000b5000000b6000000ba000000a0000000ffffffffa300000003000000b3000000bb000000b6000000a6000000ffffffffa000000003000000b3000000bc000000bb000000a7000000ffffffffa500000003000000b3000000b4000000bc0000009f000000ffffffffa600000003000000b1000000b2000000b40000009e000000ffffffff9f00000003000000af000000b0000000b20000009d000000ffffffff9e00000003000000ae000000ad000000b00000009c000000ffffffff9d0000000300000088000000bd000000ad000000ac000000ffffffff9b0000000300000088000000be000000bd000000ad000000ffffffffab0000000300000088000000bf000000be000000ae000000ffffffffac0000000300000088000000c0000000bf000000af000000ffffffffad0000000300000088000000c1000000c0000000b0000000ffffffffae000000030000008800000089000000c100000078000000ffffffffaf000000030000007c000000c200000089000000b6000000ffffffff7800000003000000c3000000c4000000c2000000b3000000ffffffffb600000003000000c3000000c5000000c4000000b4000000ffffffffb200000003000000c3000000c6000000c5000000b5000000ffffffffb300000003000000c7000000c6000000c3000000ffffffffb4000000ffffffff03000000c3000000c20000007c000000b2000000b1000000ffffffff030000007c00000076000000c80000006c000000b8000000ffffffff03000000c80000007600000075000000b700000066000000ffffffff030000007500000074000000c900000066000000ba000000ffffffff03000000c9000000740000005b000000b900000065000000ffffffff030000005b0000005a000000450000004d0000004c000000ffffffff030000004500000044000000430000003800000037000000ffffffff0300000043000000420000002d0000003700000036000000ffffffff030000002d0000002c0000002b0000002200000021000000ffffffff030000002b0000002a000000150000002100000020000000ffffffff030000001500000014000000130000000c0000000b000000ffffffff030000001300000012000000110000000b0000000a000000ffffffff0300000011000000100000000f0000000a00000009000000ffffffff030000000f0000000e0000000d0000000900000008000000ffffffff030000000d0000000c0000000b0000000800000007000000ffffffff030000000b0000000a000000090000000700000006000000ffffffff030000000900000008000000050000000600000005000000ffffffff030000000500000002000000ca00000003000000c8000000ffffffff03000000ca00000002000000cb000000c7000000c9000000ffffffff03000000cb0000000200000000000000c800000000000000ffffffff
base 0 -43.7927 60.0441 0
base 1 0.0143056 65.4978 0
base 2 44.1187 58.7304 0
